"resource","country","cluster","cluster_rank","tier","location","gw"
"onwind","FR",5,13,2,57,11.562
"onwind","FR",27,14,2,58,14.081
"onwind","FR",18,15,2,59,13.138
"onwind","FR",13,16,2,60,12.011
"onwind","FR",22,17,2,61,13.097
"onwind","FR",14,18,2,62,5.616
"onwind","FR",28,19,2,63,7.157
"onwind","FR",23,20,2,64,6.266
"onwind","FR",19,21,2,65,5.046
"onwind","FR",11,22,2,66,6.472
"onwind","FR",4,23,2,67,3.946
"onwind","FR",6,24,2,68,5.914
"onwind","FR",15,25,2,69,1.527
"onwind","FR",20,26,2,70,2.806
"onwind","FR",1,27,2,71,1.667
"onwind","FR",9,28,2,72,1.751
"onwind","FR",3,29,2,73,5.361
"onwind","FR",7,30,2,74,1.182
"onwind","FR",26,1,1,75,0.906
"onwind","FR",30,2,1,76,2.971
"onwind","FR",24,3,1,77,1.306
"onwind","FR",2,4,1,78,4.219
"onwind","FR",16,5,1,79,0.429
"onwind","FR",21,6,1,80,2.655
"onwind","FR",25,7,1,81,6.202
"onwind","FR",17,8,1,82,7.343
"onwind","FR",8,9,1,83,7.41
"onwind","FR",10,10,1,84,9.072
"onwind","FR",29,11,1,85,11.135
"onwind","FR",12,12,1,86,12.66
"onwind","FR",5,13,1,87,18.536
"onwind","FR",27,14,1,88,11.339
"onwind","FR",18,15,1,89,11.922
"onwind","FR",13,16,1,90,13.102
"onwind","FR",22,17,1,91,18.762
"onwind","FR",14,18,1,92,13.884
"onwind","FR",28,19,1,93,15.102
"onwind","FR",23,20,1,94,17.77
"onwind","FR",19,21,1,95,22.19
"onwind","FR",11,22,1,96,15.131
"onwind","FR",4,23,1,97,20.167
"onwind","FR",6,24,1,98,10.224
"onwind","FR",15,25,1,99,14.334
"onwind","FR",20,26,1,100,15.628
"onwind","FR",1,27,1,101,13.494
"onwind","FR",9,28,1,102,28.433
"onwind","FR",3,29,1,103,12.501
"onwind","FR",7,30,1,104,15.955
"onwind","GB",3,1,4,1,31.905
"onwind","GB",5,2,4,2,32.383
"onwind","GB",4,3,4,3,33.245
"onwind","GB",2,4,4,4,35.149
"onwind","GB",1,5,4,5,17.84
"onwind","GB",3,1,3,6,12.782
"onwind","GB",5,2,3,7,25.303
"onwind","GB",4,3,3,8,39.721
"onwind","GB",2,4,3,9,54.929
"onwind","GB",1,5,3,10,87.995
"onwind","GB",3,1,2,11,0.942
"onwind","GB",5,2,2,12,12.835
"onwind","GB",4,3,2,13,11.556
"onwind","GB",2,4,2,14,19.332
"onwind","GB",1,5,2,15,20.631
"onwind","GB",3,1,1,16,0.104
"onwind","GB",5,2,1,17,0.818
"onwind","GB",4,3,1,18,0.55
"onwind","GB",2,4,1,19,0.659
"onwind","GB",1,5,1,20,0.264
"onwind","GR",2,1,4,1,0.882
"onwind","GR",15,2,4,2,0.388
"onwind","GR",1,3,4,3,0.635
"onwind","GR",3,4,4,4,0.348
"onwind","GR",11,5,4,5,0.442
"onwind","GR",4,6,4,6,0.026
"onwind","GR",9,8,4,7,0.201
"onwind","GR",19,10,4,8,0.019
"onwind","GR",8,11,4,9,0.008
"onwind","GR",6,12,4,10,0.031
"onwind","GR",7,14,4,11,0.015
"onwind","GR",14,15,4,12,0.056
"onwind","GR",13,16,4,13,0.033
"onwind","GR",16,18,4,14,0.012
"onwind","GR",2,1,3,15,1.109
"onwind","GR",15,2,3,16,0.967
"onwind","GR",1,3,3,17,1.331
"onwind","GR",3,4,3,18,0.885
"onwind","GR",11,5,3,19,1.32
"onwind","GR",4,6,3,20,0.253
"onwind","GR",10,7,3,21,0.005
"onwind","GR",9,8,3,22,0.762
"onwind","GR",20,9,3,23,0.035
"onwind","GR",19,10,3,24,0.265
"onwind","GR",8,11,3,25,0.495
"onwind","GR",6,12,3,26,0.264
"onwind","GR",5,13,3,27,0.009
"onwind","GR",7,14,3,28,0.351
"onwind","GR",14,15,3,29,0.29
"onwind","GR",13,16,3,30,0.305
"onwind","GR",12,17,3,31,0.013
"onwind","GR",16,18,3,32,0.16
"onwind","GR",17,20,3,33,0.026
"onwind","GR",2,1,2,34,0.836
"onwind","GR",15,2,2,35,1.438
"onwind","GR",1,3,2,36,1.896
"onwind","GR",3,4,2,37,1.115
"onwind","GR",11,5,2,38,1.89
"onwind","GR",4,6,2,39,0.683
"onwind","GR",10,7,2,40,0.447
"onwind","GR",9,8,2,41,2.482
"onwind","GR",20,9,2,42,0.386
"onwind","GR",19,10,2,43,1.571
"onwind","GR",8,11,2,44,1.31
"onwind","GR",6,12,2,45,1.016
"onwind","GR",5,13,2,46,0.13
"onwind","GR",7,14,2,47,1.019
"onwind","GR",14,15,2,48,0.647
"onwind","GR",13,16,2,49,0.892
"onwind","GR",12,17,2,50,0.234
"onwind","GR",16,18,2,51,0.612
"onwind","GR",18,19,2,52,0.102
"onwind","GR",17,20,2,53,0.377
"onwind","GR",2,1,1,54,0.374
"onwind","GR",15,2,1,55,0.616
"onwind","GR",1,3,1,56,1.222
"onwind","GR",3,4,1,57,1.223
"onwind","GR",11,5,1,58,2.915
"onwind","GR",4,6,1,59,1.627
"onwind","GR",10,7,1,60,1.282
"onwind","GR",9,8,1,61,5.166
"onwind","GR",20,9,1,62,2.287
"onwind","GR",19,10,1,63,4.161
"onwind","GR",8,11,1,64,2.125
"onwind","GR",6,12,1,65,2.731
"onwind","GR",5,13,1,66,1.586
"onwind","GR",7,14,1,67,2.192
"onwind","GR",14,15,1,68,1.395
"onwind","GR",13,16,1,69,2.033
"onwind","GR",12,17,1,70,3.572
"onwind","GR",16,18,1,71,1.628
"onwind","GR",18,19,1,72,1.434
"onwind","GR",17,20,1,73,2.264
"onwind","HR",2,2,4,1,0.175
"onwind","HR",1,1,3,2,0.209
"onwind","HR",2,2,3,3,1.15
"onwind","HR",3,3,3,4,0.02
"onwind","HR",5,5,3,5,0.02
"onwind","HR",1,1,2,6,2.305
"onwind","HR",2,2,2,7,2.498
"onwind","HR",3,3,2,8,0.5
"onwind","HR",4,4,2,9,0.019
"onwind","HR",5,5,2,10,0.155
"onwind","HR",1,1,1,11,4.001
"onwind","HR",2,2,1,12,3.838
"onwind","HR",3,3,1,13,1.959
"onwind","HR",4,4,1,14,2.979
"onwind","HR",5,5,1,15,3.417
"onwind","HU",3,1,3,1,0.048
"onwind","HU",1,3,3,2,0.004
"onwind","HU",3,1,2,3,8.29
"onwind","HU",2,2,2,4,0.012
"onwind","HU",1,3,2,5,1.759
"onwind","HU",4,4,2,6,0.114
"onwind","HU",3,1,1,7,17.606
"onwind","HU",2,2,1,8,33.353
"onwind","HU",1,3,1,9,32.81
"onwind","HU",4,4,1,10,21.249
"onwind","IE",1,1,4,1,95.803
"onwind","IE",1,1,3,2,45.813
"onwind","IE",1,1,2,3,0.468
"onwind","IT",27,1,4,1,0.01
"onwind","IT",31,2,4,2,0.013
"onwind","IT",6,4,4,3,0.01
"onwind","IT",12,6,4,4,0.009
"onwind","IT",28,7,4,5,0.018
"onwind","IT",19,8,4,6,0.014
"onwind","IT",20,9,4,7,0.014
"onwind","IT",7,11,4,8,0.017
"onwind","IT",8,15,4,9,0.004
"onwind","IT",4,17,4,10,0.011
"onwind","IT",30,18,4,11,0.003
"onwind","IT",49,19,4,12,0.059
"onwind","IT",14,22,4,13,0.01
"onwind","IT",11,24,4,14,0.004
"onwind","IT",10,31,4,15,0.051
"onwind","IT",47,32,4,16,0.031
"onwind","IT",40,38,4,17,0.01
"onwind","IT",42,39,4,18,0.005
"onwind","IT",39,41,4,19,0.032
"onwind","IT",45,42,4,20,0.034
"onwind","IT",37,44,4,21,0.05
"onwind","IT",50,45,4,22,0.053
"onwind","IT",43,46,4,23,0.015
"onwind","IT",21,48,4,24,0.006
"onwind","IT",48,50,4,25,0.012
"onwind","IT",27,1,3,26,0.966
"onwind","IT",31,2,3,27,0.281
"onwind","IT",17,3,3,28,0.28
"onwind","IT",6,4,3,29,0.337
"onwind","IT",22,5,3,30,0.158
"onwind","IT",12,6,3,31,0.319
"onwind","IT",28,7,3,32,0.327
"onwind","IT",19,8,3,33,0.482
"onwind","IT",20,9,3,34,0.262
"onwind","IT",7,11,3,35,0.189
"onwind","IT",2,12,3,36,0.019
"onwind","IT",33,13,3,37,0.023
"onwind","IT",13,14,3,38,0.207
"onwind","IT",8,15,3,39,0.218
"onwind","IT",23,16,3,40,0.016
"onwind","IT",4,17,3,41,0.121
"onwind","IT",30,18,3,42,0.222
"onwind","IT",49,19,3,43,0.342
"onwind","IT",15,20,3,44,0.03
"onwind","IT",14,22,3,45,0.143
"onwind","IT",11,24,3,46,0.182
"onwind","IT",24,25,3,47,0.135
"onwind","IT",18,26,3,48,0.027
"onwind","IT",9,27,3,49,0.025
"onwind","IT",34,29,3,50,0.014
"onwind","IT",25,30,3,51,0.01
"onwind","IT",10,31,3,52,0.227
"onwind","IT",47,32,3,53,0.212
"onwind","IT",32,33,3,54,0.1
"onwind","IT",5,35,3,55,0.044
"onwind","IT",40,38,3,56,0.055
"onwind","IT",42,39,3,57,0.124
"onwind","IT",38,40,3,58,0.005
"onwind","IT",39,41,3,59,0.146
"onwind","IT",45,42,3,60,0.348
"onwind","IT",16,43,3,61,0.007
"onwind","IT",37,44,3,62,0.278
"onwind","IT",50,45,3,63,0.494
"onwind","IT",43,46,3,64,0.237
"onwind","IT",21,48,3,65,0.098
"onwind","IT",44,49,3,66,0.041
"onwind","IT",48,50,3,67,0.075
"onwind","IT",27,1,2,68,1.347
"onwind","IT",31,2,2,69,1.311
"onwind","IT",17,3,2,70,3.19
"onwind","IT",6,4,2,71,3.614
"onwind","IT",22,5,2,72,5.149
"onwind","IT",12,6,2,73,1.208
"onwind","IT",28,7,2,74,2.138
"onwind","IT",19,8,2,75,2.977
"onwind","IT",20,9,2,76,1.278
"onwind","IT",26,10,2,77,3.726
"onwind","IT",7,11,2,78,1.255
"onwind","IT",2,12,2,79,1.106
"onwind","IT",33,13,2,80,1.429
"onwind","IT",13,14,2,81,1.068
"onwind","IT",8,15,2,82,1.544
"onwind","IT",23,16,2,83,1.361
"onwind","IT",4,17,2,84,1.264
"onwind","IT",30,18,2,85,1.149
"onwind","IT",49,19,2,86,0.83
"onwind","IT",15,20,2,87,0.66
"onwind","IT",1,21,2,88,0.605
"onwind","IT",14,22,2,89,1.714
"onwind","IT",35,23,2,90,1.081
"onwind","IT",11,24,2,91,1.11
"onwind","IT",24,25,2,92,1.674
"onwind","IT",18,26,2,93,0.96
"onwind","IT",9,27,2,94,0.188
"onwind","IT",29,28,2,95,0.164
"onwind","IT",34,29,2,96,0.539
"onwind","IT",25,30,2,97,0.943
"onwind","IT",10,31,2,98,0.649
"onwind","IT",47,32,2,99,0.544
"onwind","IT",32,33,2,100,0.987
"onwind","IT",41,34,2,101,0.158
"onwind","IT",5,35,2,102,0.572
"onwind","IT",36,36,2,103,0.284
"onwind","IT",3,37,2,104,0.249
"onwind","IT",40,38,2,105,0.472
"onwind","IT",42,39,2,106,1.37
"onwind","IT",38,40,2,107,0.232
"onwind","IT",39,41,2,108,0.711
"onwind","IT",45,42,2,109,1.025
"onwind","IT",16,43,2,110,0.184
"onwind","IT",37,44,2,111,1.233
"onwind","IT",50,45,2,112,1.688
"onwind","IT",43,46,2,113,1.258
"onwind","IT",46,47,2,114,0.051
"onwind","IT",21,48,2,115,0.525
"onwind","IT",44,49,2,116,0.298
"onwind","IT",48,50,2,117,0.304
"onwind","IT",27,1,1,118,0.588
"onwind","IT",31,2,1,119,0.481
"onwind","IT",17,3,1,120,0.182
"onwind","IT",6,4,1,121,1.292
"onwind","IT",22,5,1,122,1.499
"onwind","IT",12,6,1,123,1.145
"onwind","IT",28,7,1,124,3.057
"onwind","IT",19,8,1,125,2.936
"onwind","IT",20,9,1,126,1.968
"onwind","IT",26,10,1,127,4.87
"onwind","IT",7,11,1,128,3.186
"onwind","IT",2,12,1,129,2.175
"onwind","IT",33,13,1,130,4.134
"onwind","IT",13,14,1,131,1.423
"onwind","IT",8,15,1,132,3.059
"onwind","IT",23,16,1,133,2.677
"onwind","IT",4,17,1,134,2.98
"onwind","IT",30,18,1,135,2.26
"onwind","IT",49,19,1,136,1.13
"onwind","IT",15,20,1,137,1.774
"onwind","IT",1,21,1,138,3.241
"onwind","IT",14,22,1,139,7.872
"onwind","IT",35,23,1,140,5.279
"onwind","IT",11,24,1,141,2.549
"onwind","IT",24,25,1,142,3.883
"onwind","IT",18,26,1,143,3.822
"onwind","IT",9,27,1,144,0.767
"onwind","IT",29,28,1,145,3.173
"onwind","IT",34,29,1,146,2.596
"onwind","IT",25,30,1,147,5.756
"onwind","IT",10,31,1,148,2.238
"onwind","IT",47,32,1,149,0.883
"onwind","IT",32,33,1,150,2.682
"onwind","IT",41,34,1,151,4.036
"onwind","IT",5,35,1,152,3.3
"onwind","IT",36,36,1,153,6.186
